Name,Всего проектов,Дата рождения,Дата смерти,Знак зодиака,Карьера,Место рождения,Место смерти,Рост,Сыгранные/озвученные персонажи,Фильмография
Том Хэнкс,100,09/07/1956,,Рак,"Актёр, Войс-актер, Продюсер, Режиссёр, Сценарист","Конкорд, Калифорния, США",-,1.83,"Вудди (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%92%D1%83%D0%B4%D0%B4%D0%B8%20296c10ae8c758045aa57dc094b4c352d.md), Уолт Дисней (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A3%D0%BE%D0%BB%D1%82%20%D0%94%D0%B8%D1%81%D0%BD%D0%B5%D0%B9%20298c10ae8c75803491e8d0b6464ef78f.md)","История игрушек  (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%20298c10ae8c7580f598c7e6b14a8d33da.md), История игрушек 2 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%202%20296c10ae8c758025b37cc48f40d6bc95.md), История игрушек 3 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%203%20298c10ae8c75806a83bdd3068afbdc00.md), История игрушек 4 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%204%20298c10ae8c758022ad7ad981f8bee42e.md), Спасти мистера Бэнкса (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A1%D0%BF%D0%B0%D1%81%D1%82%D0%B8%20%D0%BC%D0%B8%D1%81%D1%82%D0%B5%D1%80%D0%B0%20%D0%91%D1%8D%D0%BD%D0%BA%D1%81%D0%B0%20296c10ae8c7580248a02dd084c5df0bf.md)"
Тим Аллен,50,13/06/1953,,Близнецы,"Актёр, Войс-актер, Комик","Денвер, Колорадо, США",-,1.79,Базз Лайтер (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%91%D0%B0%D0%B7%D0%B7%20%D0%9B%D0%B0%D0%B9%D1%82%D0%B5%D1%80%20296c10ae8c7580cd8d02d6845ff9affa.md),"История игрушек  (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%20298c10ae8c7580f598c7e6b14a8d33da.md), История игрушек 2 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%202%20296c10ae8c758025b37cc48f40d6bc95.md), История игрушек 3 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%203%20298c10ae8c75806a83bdd3068afbdc00.md), История игрушек 4 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%204%20298c10ae8c758022ad7ad981f8bee42e.md)"
Джоан Кьюсак,80,11/10/1962,,Весы,"Актриса, Войс-актриса, Сценарист","Нью-Йорк, США",-,1.75,Джесси (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%94%D0%B6%D0%B5%D1%81%D1%81%D0%B8%20298c10ae8c7580e49c05ca40a9867069.md),"История игрушек 2 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%202%20296c10ae8c758025b37cc48f40d6bc95.md), История игрушек 3 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%203%20298c10ae8c75806a83bdd3068afbdc00.md), История игрушек 4 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%204%20298c10ae8c758022ad7ad981f8bee42e.md)"
Келси Грэммер,150,21/02/1955,,Рыбы,"Актёр, Войс-актер, Комик, Продюсер","Сент-Томас, Американские Виргинские острова",-,1.85,Старатель Вонючка Пит (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A1%D1%82%D0%B0%D1%80%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20%D0%92%D0%BE%D0%BD%D1%8E%D1%87%D0%BA%D0%B0%20%D0%9F%D0%B8%D1%82%20298c10ae8c7580429fc6cb2a220867b1.md),"История игрушек 2 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%202%20296c10ae8c758025b37cc48f40d6bc95.md)"
Нед Битти,160,06/07/1937,13/06/2021,Рак,"Актёр, Войс-актер","Луисвилл, Кентукки, США","Лос-Анджелес, Калифорния, США",1.7,Лотсо (Мишка-Обнимашка) (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9B%D0%BE%D1%82%D1%81%D0%BE%20(%D0%9C%D0%B8%D1%88%D0%BA%D0%B0-%D0%9E%D0%B1%D0%BD%D0%B8%D0%BC%D0%B0%D1%88%D0%BA%D0%B0)%20298c10ae8c758048ba38c6c6d0c554f4.md),"История игрушек 3 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%203%20298c10ae8c75806a83bdd3068afbdc00.md)"
Кристина Хендрикс,60,03/05/1975,,Телец,"Актриса, Войс-актриса","Ноксвилл, Теннесси, США",-,1.71,Габби Габби (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%93%D0%B0%D0%B1%D0%B1%D0%B8%20%D0%93%D0%B0%D0%B1%D0%B1%D0%B8%20298c10ae8c75800389d9c756b2275586.md),"История игрушек 4 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%204%20298c10ae8c758022ad7ad981f8bee42e.md)"
" Идина Мензел",50,30/05/1971,,Близнецы,"Актриса, Войс-актриса, Певица","Манхэттен, Нью-Йорк, США",-,1.63,Эльза (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%AD%D0%BB%D1%8C%D0%B7%D0%B0%20296c10ae8c758025a1b8de3f09ad74ab.md),"Холодное сердце (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A5%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D0%BE%D0%B5%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20296c10ae8c7580a8b709c9c915b5c0b9.md)"
Кристен Белл,100,18/07/1980,,Рак,"Актриса, Войс-актриса, Певица","Хантингтон-Вудс, Мичиган, США",-,1.55,Анна (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%90%D0%BD%D0%BD%D0%B0%20296c10ae8c7580f18546c570b77acbd8.md),"Холодное сердце (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A5%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D0%BE%D0%B5%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20296c10ae8c7580a8b709c9c915b5c0b9.md)"
Джош Гэд,80,23/02/1981,,Рыбы,"Актёр, Войс-актер, Комик, Певец","Холливуд, Флорида, США",-,1.68,"Олаф (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9E%D0%BB%D0%B0%D1%84%20296c10ae8c758020bbfcfb6f944726d0.md), ЛеФу (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9B%D0%B5%D0%A4%D1%83%20298c10ae8c75804ab81ad4bf71e2aadf.md)","Холодное сердце (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A5%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D0%BE%D0%B5%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20296c10ae8c7580a8b709c9c915b5c0b9.md), Красавица и чудовище: Пробуждение чувств (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D1%80%D0%B0%D1%81%D0%B0%D0%B2%D0%B8%D1%86%D0%B0%20%D0%B8%20%D1%87%D1%83%D0%B4%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%20%D0%9F%D1%80%D0%BE%D0%B1%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5%20%D1%87%D1%83%D0%B2%D1%81%D1%82%D0%B2%20296c10ae8c758041bfb3d4232f2c69f9.md)"
Бетти Лу Герсон,100,20/04/1914,12/01/1999,Овен,"Актриса, Войс-актриса","Чаттануга, Теннесси, США","Лос-Анджелес, Калифорния, США",1.65,Круэлла Де Виль (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9A%D1%80%D1%83%D1%8D%D0%BB%D0%BB%D0%B0%20%D0%94%D0%B5%20%D0%92%D0%B8%D0%BB%D1%8C%20296c10ae8c7580ddb30ad245cd0043c0.md),"101 далматинец (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/101%20%D0%B4%D0%B0%D0%BB%D0%BC%D0%B0%D1%82%D0%B8%D0%BD%D0%B5%D1%86%20296c10ae8c758089b921d89a333bdff7.md), Золушка (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%97%D0%BE%D0%BB%D1%83%D1%88%D0%BA%D0%B0%20296c10ae8c7580d48560dc17aad7ce22.md)"
Род Тейлор,90,11/01/1930,07/01/2015,Козерог,"Актёр, Войс-актер","Сидней, Австралия","Лос-Анджелес, Калифорния, США",1.79,Понго (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9F%D0%BE%D0%BD%D0%B3%D0%BE%20296c10ae8c758091aae4e9b0be797f2c.md),"101 далматинец (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/101%20%D0%B4%D0%B0%D0%BB%D0%BC%D0%B0%D1%82%D0%B8%D0%BD%D0%B5%D1%86%20296c10ae8c758089b921d89a333bdff7.md)"
Кейт Бауэр,5,27/08/1922,03/04/2017,Дева,"Актриса, Войс-актриса","Лондон, Англия","Лондон, Англия",1.61,Пэдди  (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9F%D1%8D%D0%B4%D0%B4%D0%B8%20296c10ae8c7580a5a16ec8fee3027984.md),"101 далматинец (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/101%20%D0%B4%D0%B0%D0%BB%D0%BC%D0%B0%D1%82%D0%B8%D0%BD%D0%B5%D1%86%20296c10ae8c758089b921d89a333bdff7.md)"
