Name,Вид,Встречается в парке,Исполтитель,Пол,Произведения,Саундтреки,Тип
Мальчик Маугли,Человек,Disney's Animal Kingdom (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Disney's%20Animal%20Kingdom%2029dc10ae8c7580e88288f93726caed9b.md),"Нил Сети (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%9D%D0%B8%D0%BB%20%D0%A1%D0%B5%D1%82%D0%B8%2029ac10ae8c758012a6d8fa3e1e2d5778.md)",М,"Книга джунглей: Закон джунглей (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20%D0%97%D0%B0%D0%BA%D0%BE%D0%BD%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20296c10ae8c75803fb9c5dc879fef1369.md)","The Bare Necessities (Version 2016) (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/The%20Bare%20Necessities%20(Version%202016)%2029dc10ae8c7580a9aebce2c18197a9c1.md)",Герой
"Медведь Балу ",Животное,Disney's Animal Kingdom (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Disney's%20Animal%20Kingdom%2029dc10ae8c7580e88288f93726caed9b.md),"Билл Мюррей (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%91%D0%B8%D0%BB%D0%BB%20%D0%9C%D1%8E%D1%80%D1%80%D0%B5%D0%B9%2029ac10ae8c7580e38560c6729d34b354.md)",М,"Книга джунглей: Закон джунглей (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20%D0%97%D0%B0%D0%BA%D0%BE%D0%BD%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20296c10ae8c75803fb9c5dc879fef1369.md)","The Bare Necessities (Version 2016) (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/The%20Bare%20Necessities%20(Version%202016)%2029dc10ae8c7580a9aebce2c18197a9c1.md)",Герой
Пантера Багира,Животное,Disney's Animal Kingdom (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Disney's%20Animal%20Kingdom%2029dc10ae8c7580e88288f93726caed9b.md),"Бен Кингсли (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%91%D0%B5%D0%BD%20%D0%9A%D0%B8%D0%BD%D0%B3%D1%81%D0%BB%D0%B8%2029ac10ae8c75809eb0c5e1f09a2894f7.md)",М,"Книга джунглей: Закон джунглей (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20%D0%97%D0%B0%D0%BA%D0%BE%D0%BD%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20296c10ae8c75803fb9c5dc879fef1369.md)",,Второстепенный
Лев Шер-Хан,Животное,Disney's Animal Kingdom (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Disney's%20Animal%20Kingdom%2029dc10ae8c7580e88288f93726caed9b.md),"Идрис Эльба (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%98%D0%B4%D1%80%D0%B8%D1%81%20%D0%AD%D0%BB%D1%8C%D0%B1%D0%B0%2029ac10ae8c7580fa8399ffd9b8e16175.md)",М,"Книга джунглей: Закон джунглей (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20%D0%97%D0%B0%D0%BA%D0%BE%D0%BD%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20296c10ae8c75803fb9c5dc879fef1369.md)",,Злодей
Алиса Кингсли,Человек,Shanghai Disneyland (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Shanghai%20Disneyland%2029dc10ae8c758034b1f4ff1b6e58074d.md),"Миа Васиковска (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%9C%D0%B8%D0%B0%20%D0%92%D0%B0%D1%81%D0%B8%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%2029ac10ae8c7580db8474ee998772487f.md)",Ж,"Алиса в стране чудес (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%90%D0%BB%D0%B8%D1%81%D0%B0%20%D0%B2%20%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%20%D1%87%D1%83%D0%B4%D0%B5%D1%81%20296c10ae8c7580c28f61d44ad30f584f.md)",,Герой
Безумный Шляпник,Человек,Shanghai Disneyland (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Shanghai%20Disneyland%2029dc10ae8c758034b1f4ff1b6e58074d.md),"Джонни Депп (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%94%D0%B6%D0%BE%D0%BD%D0%BD%D0%B8%20%D0%94%D0%B5%D0%BF%D0%BF%2029ac10ae8c75806f894bd69ec8ae6974.md)",М,"Алиса в стране чудес (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%90%D0%BB%D0%B8%D1%81%D0%B0%20%D0%B2%20%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%20%D1%87%D1%83%D0%B4%D0%B5%D1%81%20296c10ae8c7580c28f61d44ad30f584f.md)",,Герой
Красная Королева,Человек,Shanghai Disneyland (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Shanghai%20Disneyland%2029dc10ae8c758034b1f4ff1b6e58074d.md),"Хелена Бонем Картер (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%A5%D0%B5%D0%BB%D0%B5%D0%BD%D0%B0%20%D0%91%D0%BE%D0%BD%D0%B5%D0%BC%20%D0%9A%D0%B0%D1%80%D1%82%D0%B5%D1%80%2029ac10ae8c75806dab57cd9a43f0181a.md)",Ж,"Алиса в стране чудес (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%90%D0%BB%D0%B8%D1%81%D0%B0%20%D0%B2%20%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%20%D1%87%D1%83%D0%B4%D0%B5%D1%81%20296c10ae8c7580c28f61d44ad30f584f.md)",,Злодей
Чеширский Кот,Сверхъестественное существо,Shanghai Disneyland (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Shanghai%20Disneyland%2029dc10ae8c758034b1f4ff1b6e58074d.md),"Стивен Фрай (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%A1%D1%82%D0%B8%D0%B2%D0%B5%D0%BD%20%D0%A4%D1%80%D0%B0%D0%B9%2029ac10ae8c75804b9b8ccf15a5060a25.md)",М,"Алиса в стране чудес (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%90%D0%BB%D0%B8%D1%81%D0%B0%20%D0%B2%20%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%20%D1%87%D1%83%D0%B4%D0%B5%D1%81%20296c10ae8c7580c28f61d44ad30f584f.md)",,Второстепенный
Мэри Поппинс,Человек,EPCOT (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/EPCOT%2029dc10ae8c7580158333d8928f7165ba.md),"Джули Эндрюс (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%94%D0%B6%D1%83%D0%BB%D0%B8%20%D0%AD%D0%BD%D0%B4%D1%80%D1%8E%D1%81%2029ac10ae8c7580f0b0ebcff2e72ca87b.md)",Ж,"Мэри Поппинс (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9C%D1%8D%D1%80%D0%B8%20%D0%9F%D0%BE%D0%BF%D0%BF%D0%B8%D0%BD%D1%81%20296c10ae8c758077a817d5322deb3d65.md)","A Spoonful of Sugar (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/A%20Spoonful%20of%20Sugar%2029dc10ae8c75809a8d4ff26f726c50b9.md), Chim Chim Cher-ee (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/Chim%20Chim%20Cher-ee%2029dc10ae8c758096b092edecba87eced.md)",Герой
Берт,Человек,EPCOT (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/EPCOT%2029dc10ae8c7580158333d8928f7165ba.md),"Дик Ван Дайк (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%94%D0%B8%D0%BA%20%D0%92%D0%B0%D0%BD%20%D0%94%D0%B0%D0%B9%D0%BA%2029ac10ae8c7580aba9def2e3c60701d2.md)",М,"Мэри Поппинс (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9C%D1%8D%D1%80%D0%B8%20%D0%9F%D0%BE%D0%BF%D0%BF%D0%B8%D0%BD%D1%81%20296c10ae8c758077a817d5322deb3d65.md)","Chim Chim Cher-ee (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/Chim%20Chim%20Cher-ee%2029dc10ae8c758096b092edecba87eced.md)",Герой
Бэнкс,Человек,EPCOT (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/EPCOT%2029dc10ae8c7580158333d8928f7165ba.md),"Дэвид Томлинсон (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%94%D1%8D%D0%B2%D0%B8%D0%B4%20%D0%A2%D0%BE%D0%BC%D0%BB%D0%B8%D0%BD%D1%81%D0%BE%D0%BD%2029ac10ae8c75807e957acf20a7179494.md)",М,"Мэри Поппинс (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9C%D1%8D%D1%80%D0%B8%20%D0%9F%D0%BE%D0%BF%D0%BF%D0%B8%D0%BD%D1%81%20296c10ae8c758077a817d5322deb3d65.md)","The Life I Lead (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/The%20Life%20I%20Lead%2029dc10ae8c7580fb8b42d47cb23e3707.md)",Второстепенный
